"id_no"|"order_"|"family"|"genus"|"binomial"|"endemic"|"v_range_sqkm"|"r_range_sqkm"|"aoh_92_sqkm"|"aoh_22_sqkm"|"aoh_perc_range"|"aoh_gain_loss_perc"|"ecosystems"|"category"|"threatened"|"habitats"
18|"Rodentia"|"Abrocomidae"|"Abrocoma"|"Abrocoma boliviensis"|True|64.7021486691896|64.611627872451|43.437351405360005|41.808240854275|64.70699196251195|-0.03750483163400197|"{terrestrial}"|"CR"|True|"{1.9,6}"
137|"Chiroptera"|"Pteropodidae"|"Acerodon"|"Acerodon celebensis"|True|176917.45128087953|176917.42944486317|147168.10707784363|145215.27048262948|82.08081642283088|-0.013269427962277223|"{terrestrial}"|"VU"|True|"{14.4,1.6,1.7}"
138|"Chiroptera"|"Pteropodidae"|"Acerodon"|"Acerodon humilis"|True|929.4180287681788|929.4183286058839|777.9422147122509|777.18424393374|83.62049897375134|-0.0009743278667442268|"{terrestrial}"|"EN"|True|"{1.6}"
139|"Chiroptera"|"Pteropodidae"|"Acerodon"|"Acerodon jubatus"|True|144160.51891157072|144160.9417009225|43640.420240645355|44164.53827851335|30.63557837332769|0.01200992187925462|"{terrestrial}"|"EN"|True|"{1.6,1.7,1.9}"
140|"Chiroptera"|"Pteropodidae"|"Acerodon"|"Acerodon leucotis"|True|12749.507577319195|12749.50186228008|11365.906483037063|11338.689534085857|88.93437293916425|-0.0023946131346254643|"{terrestrial}"|"VU"|True|"{14.3,14.4,1.6,1.7}"
142|"Chiroptera"|"Pteropodidae"|"Acerodon"|"Acerodon mackloti"|True|74622.76424982927|74622.73974223847|45529.70608722899|45389.268870445754|60.82498314485526|-0.003084518413410665|"{terrestrial}"|"VU"|True|"{14.4,1.6}"
219|"Carnivora"|"Felidae"|"Acinonyx"|"Acinonyx jubatus"|NULL|3120231.0894606397|3120231.4229441853|2558098.2416061917|2526081.9317475455|80.95815948690073|-0.012515668607998291|"{terrestrial}"|"VU"|True|"{14.2,2.1,3.5,4.5,4.6,5.13,6,8.1,8.2,8.3}"
263|"Rodentia"|"Muridae"|"Acomys"|"Acomys cahirinus"|NULL|4017371.21432749|4017398.4191157864|3761789.3307879637|3722656.5651673237|92.66336511345234|-0.01040269993334344|"{terrestrial}"|"LC"|NULL|"{14.4,3.5,6}"
264|"Rodentia"|"Muridae"|"Acomys"|"Acomys cilicicus"|True|17.503753458726695|17.503740062918002|2.5332788057549998|1.919059648438|10.963711992636153|-0.24246014924280804|"{terrestrial}"|"DD"|NULL|"{3.8,6}"
265|"Rodentia"|"Muridae"|"Acomys"|"Acomys cineraceus"|NULL|1049536.7350103126|1049537.3968627383|810338.0894731932|778089.7759397364|74.13645080828857|-0.03979612207840512|"{terrestrial}"|"LC"|NULL|"{14.1,14.4,2.1,2.2,3.5,4.5,6}"
266|"Rodentia"|"Muridae"|"Acomys"|"Acomys ignitus"|NULL|105257.03509004651|105257.03431510286|48994.06263127917|48882.76153376958|46.441325135032436|-0.002271726236446694|"{terrestrial}"|"LC"|NULL|"{2.1,6}"
267|"Rodentia"|"Muridae"|"Acomys"|"Acomys kempi"|NULL|569659.8504880249|569659.83037731|394862.29584548954|389825.39952304616|68.43125997928415|-0.012756083261022042|"{terrestrial}"|"LC"|NULL|"{2.1,6}"
268|"Rodentia"|"Muridae"|"Acomys"|"Acomys louisae"|NULL|688435.3393355741|688436.1314539574|528630.4387892|506024.2093545691|73.50343571971744|-0.04276376798583396|"{terrestrial}"|"LC"|NULL|"{2.1,4.5,6}"
269|"Rodentia"|"Muridae"|"Acomys"|"Acomys minous"|True|8344.703005170068|8344.703680156152|2291.5478206873436|2221.8460862560228|26.625823653146735|-0.030416879718623526|"{terrestrial}"|"DD"|NULL|"{3.8,6}"
270|"Rodentia"|"Muridae"|"Acomys"|"Acomys mullah"|NULL|160420.76280262007|160420.81881935574|116425.86380660646|111525.0394485013|69.52030308116413|-0.04209394886900614|"{terrestrial}"|"LC"|NULL|"{3.5,6}"
272|"Rodentia"|"Muridae"|"Acomys"|"Acomys percivali"|NULL|222959.86465288437|222959.86199209857|152130.98381569653|139713.3197362793|62.66299166494398|-0.0816248194020815|"{terrestrial}"|"LC"|NULL|"{2.1,3.5,6}"
273|"Rodentia"|"Muridae"|"Acomys"|"Acomys russatus"|NULL|701802.6228750226|701806.4609488425|532513.2281475994|517270.8015185963|73.70561975437589|-0.02862356430473171|"{terrestrial}"|"LC"|NULL|"{6}"
275|"Rodentia"|"Muridae"|"Acomys"|"Acomys subspinosus"|True|94357.51283721658|94357.58718670833|56749.0073469524|57282.90152251879|60.708315282767146|0.009407991443837346|"{terrestrial}"|"LC"|NULL|"{3.8,6}"
276|"Rodentia"|"Muridae"|"Acomys"|"Acomys wilsoni"|NULL|1372810.8184684052|1372811.1703703373|820931.5129137486|799096.2621779017|58.20875291700409|-0.026598139299521636|"{terrestrial}"|"LC"|NULL|"{2.1,3.5,6}"
278|"Rodentia"|"Octodontidae"|"Aconaemys"|"Aconaemys fuscus"|NULL|31934.341348373542|31934.338415276772|8467.004562979248|8534.783509497614|26.726038280519816|0.008005067909697428|"{terrestrial}"|"LC"|NULL|"{1.9,6}"
279|"Rodentia"|"Octodontidae"|"Aconaemys"|"Aconaemys sagei"|NULL|40513.463119551496|40513.50123408544|19942.044916474442|19837.59812264829|48.965400467432865|-0.0052375167272773636|"{terrestrial}"|"DD"|NULL|"{1.4,6}"
512|"Cetartiodactyla"|"Bovidae"|"Addax"|"Addax nasomaculatus"|NULL|33785.946622742806|33785.99114922224|33745.31769443984|33785.99114922225|100.00000000000004|0.0012053066191496525|"{terrestrial}"|"CR"|True|"{2.1,4.5,8.1}"
547|"Rodentia"|"Cricetidae"|"Handleyomys"|"Handleyomys fuscatus"|True|79255.8618124932|79255.86191759753|65591.4264444964|64520.95361096475|81.4084309347961|-0.016320316412656313|"{terrestrial}"|"LC"|NULL|"{14.1,14.2,1.9}"
548|"Rodentia"|"Cricetidae"|"Aepeomys"|"Aepeomys lugens"|True|9497.617970104657|9497.618258946794|7338.800471140313|7024.363632091346|73.95921209482565|-0.042845808424072|"{terrestrial}"|"LC"|NULL|"{1.9,3.7,4.7}"
550|"Cetartiodactyla"|"Bovidae"|"Aepyceros"|"Aepyceros melampus"|NULL|3359964.4271735363|3359963.4482179414|1063580.0688447454|1037210.0670010429|30.869683048223596|-0.024793621670952764|"{terrestrial}"|"LC"|NULL|"{2.1,3.5,4.5}"
555|"Rodentia"|"Sciuridae"|"Aeretes"|"Aeretes melanopterus"|True|56110.42498754383|56110.4382442329|33519.63736666471|35767.23151791041|63.744345325241895|0.0670530568890024|"{terrestrial}"|"NT"|NULL|"{1.4}"
556|"Rodentia"|"Sciuridae"|"Aeromys"|"Aeromys tephromelas"|NULL|362180.2533953858|362180.2468349896|312408.8314346882|305766.7686365391|84.42392187552056|-0.02126080356834487|"{terrestrial}"|"DD"|NULL|"{14.4,1.6}"
557|"Rodentia"|"Sciuridae"|"Aeromys"|"Aeromys thomasi"|NULL|446206.4589863578|446206.4694932628|365067.32457569893|342667.7226578747|76.79577641422982|-0.061357454940286084|"{terrestrial}"|"LC"|NULL|"{14.6,1.6,1.9}"
565|"Chiroptera"|"Pteropodidae"|"Aethalops"|"Aethalops alecto"|NULL|158277.6865591723|79535.37747883683|53865.34066191847|53573.34662844895|67.35788315420268|-0.00542081475548809|"{terrestrial}"|"LC"|NULL|"{1.9}"
